index,recipe_title,recipe_description,recipe_image,recipe_image_alt_text,recipe_author,recipe_category,recipe_cuisine,recipe_note,recipe_tags,recipe_ingredients,recipe_directions
20,SweetHomeAvocadoBurger,,,SweetHomeAvocadoBurger,Ryan White,,,,,"1 C fresh lime jiuce,0.5 C honey,1 tsp salt,1 lb ground beef,1 ea videlia onion, chopped,3 ea Roma Tomatoes, seeded and chopped,1 ea bell pepper, chopped,0.5 C chopped stevia leaves,1 tsp olive oil,4 ea &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","In small saucepan cook lime jiuce, honey and 1 tsp salt until disolved. Cool in refridgerator.  ,Marinade beef with 3/4 C lime jiuce for > 1 hr,Drain beef and form 4 patties with salt and pepper,In bowl mix stevia leaves, onion, tomatoes, pepper, olive oil and dash of salt.,Build Burger: Bottom bun, burger, avocado slices, scoop of veggie mixture, dash of lime jiuce, top bun.,Serve with French fries & Fruit salad. ,"
21, Salmon Coconut Curry,,, Salmon Coconut Curry,Ryan White,,,,,"1 tsp mustard seeds ,0.333333333333333 ea yellow onion, roughly chopped,10 g fresh ginger, peeled and grated,1 ea fresh red chili (~6g), stem removed,1 ea garlic clove,1 tsp curry powder,1 tsp ground coriander,1 tsp ground turmeric,0.5 tsp salt,0.25 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""lime juice","Curry Paste: In a large pan over medium heat, dry fry mustard seeds until they start to pop just slightly, about 1-2 minutes. Remove pan from heat, set aside, and allow mustard seeds to cool.,To a mortar and pestle or single-serve blender attachment, add all Curry Paste ingredients and grind or pulse until well-combined.,Salmon: Using a sharp knife, carefully remove the skin from the salmon by placing the salmon skin side up and cutting it off, peeling it back as you cut just beneath the skin. Discard the salmon skin. Cut the salmon into 1-inch x 1-inch cubes.,To same pan, heat olive oil and fry prepared Curry Paste for 1-2 minutes, stirring occasionally so it doesn’t stick to the pan. Add coconut milk, vegetable broth, coconut aminos, fish sauce, tomatoes, and black pepper. Cover pan with lid and cook on medium heat until sauce starts to reduce, about 5-6 minutes.,Final Steps: To the pan of cooked Curry Paste, add cubed salmon and cook for an additional 5-6 minutes, before adding the bok choy and greens beans to cook until slightly wilted and softened, about 1-2 minutes. Add lime juice. Taste mixture and, as needed, adjust seasoning to your preferences. Serve in bowls and top with chopped cilantro.,Prepare rice. Heat Naan Through. ,"
22,Whole30 Lamb Chops,,,Whole30 Lamb Chops,Ryan White,,,,,"4 Ea Lamb Chops,1 Ea yellow onion,2 Ea bell peppers,2 C baby bella mushrooms,0.25 C arrowroot powder,2 cloves garlic, finely chopped,4 Tbsp coconut oil,2 Tbsp fresh herb blend,0.5 tsp crushed red pepper flakes,to taste to taste &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","SEASON lamb chops with salt, pepper. COMBINE garlic, fresh herbs, crushed red pepper flakes, and 2 tablespoons coconut oil in a big bowl. Stir until it makes a light paste.ADD lamb chops to the bowl and rub the paste on both sides of the lamb chops. Let them rest for 30-45 minutes at room temperature.,HEAT a large frying pan or cast iron dutch oven/skillet (preferred) over medium-high heat. Add 2 tablespoons coconut oil, once hot add in the lamb chops.,SEAR seasoned lamb chops for 3-5 minutes on each side. Then remove and set aside.,ADD roughly chopped onions, peppers, and mushrooms to lamb chop fat and sauté for 5 minutes until onions translucent.,ADD arrowroot powder and stir to thicken slightly.,ADD lamb chops back into the pan/skillet/dutch oven. Turn the stove to low, and braise chops and veggies until the meat is tender.,Serve with steamed green beans and cauliflower"
23,Remoulade Sauce,,,Remoulade Sauce,Ryan White,,,,,"1.25 C Mayonnaise,0.25 C Mustard (or Creole Mustard),1 Tbsp Sweet Paprika,2 Tbsp Cajun / Creole Seasoning,2 tsp Horseradish,1 tsp Pickle Juice (dill),1 tsp Hot Sauce,1 Clove Garlic,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Mix all the ingredients together in a medium bowl. The remoulade is better if left for a few hours to let the flavors meld. Keep refrigerated.,,,,,,"
24,Fresh Corn Cakes,,,Fresh Corn Cakes,Ryan White,,,,,"2 Ears Corn,0.25 C green onions,4 Tbsp vegetable oil,2 ea eggs,0.25 C flour,0.25 C Yellow Cornmeal,0.5 tsp Salt,0.25 tsp pepper,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","In a blender or food processor, pulse corn and green onions until chopped but not smooth. Transfer to a large bowl and stir in 2 tbsp. oil and the egg yolks.,In another large bowl, combine flour, cornmeal, salt, and pepper. Add to corn mixture and mix thoroughly but gently.,In a large clean bowl, whisk or beat egg whites until soft peaks form. Fold into corn mixture.,In a large frying pan, heat 1 tbsp. oil over medium-high heat. Working in batches, drop large spoonfuls of the corn mixture into pan (do not spread or flatten). ,Cook until edges begin to set and undersides are browned, about 2 minutes. Flip and cook until cakes are browned and cooked through. Cook remaining batter the same way, adding oil as necessary. Serve hot.,,"
25,Loaded Baked Potato Soup,,,Loaded Baked Potato Soup,Ryan White,,,,,"3-4 ea large russet potatoes,1 ea onion,3 C chicken broth,4 Tbsp butter,0.25 C flour,0.25 C sour cream,1.5 C heavy cream,2 Tbsp salt,2 Tbsp pepper,0.5 lb &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Peel and dice potatoes,Add potatoes, diced onions and chicken broth to your slow cooker. Cook on low 4-6 hours or high 3-4 until potatoes are tender.,About 30 minutes before it is done, In a medium saucepan, melt the butter. ,Whisk in flour and cook until bubbly. Slowly add heavy cream, sour cream. The mixture should be thick. Add this to the soup and stir. Continue to cook in slow cooker for 20-30 minutes.,Serve with toppings, or you can also stir them all into the soup.,,"
26,Irish Guiness Stew,,,Irish Guiness Stew,Ryan White,,,,,"2 Tbsp olive oil,2.5 lbs beef chuck,0.75 tsp Salt & Black pepper,2 cloves garlic,2 ea onions,6 oz bacon,3 Tbsp all purpose flour,1 bottle Guinness Beer,4 Tbsp tomato paste,3 C &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Cut the beef into 5cm/2"" chunks. Pat dry then sprinkle with salt and pepper. Chop onions, peel and cut carrots into rounds, rough chop celery, dice bacon, mince garlic. (keep everything separated into piles / bowls),Heat oil in a heavy based pot over high heat. Add beef in batches and brown well all over. Remove onto plate. Lower heat to med.,Sweat garlic and onion 3 min. Add Bacon til browned. Add flour & stir,Add Guinness,mix well. Then add remaining ingredients and return beef into the pot. Add enough water to cover everything.  ,Cover and simmer 2 hrs. Remove lid and simmer 45 min. ,Skim off fat on surface. Adjust salt and pepper to taste. Remove bay leaves and thyme.
Serve with creamy mashed potatoes,"
27,Irish Colcannon,,,Irish Colcannon,Ryan White,,,,,"4 C Russet potatoes,2 C Bag shredded cabbage ,4 ea green onions,4 Tbsp butter,1 C Sour Crème,  ,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Peel and Cube potatoes. Chop Green onions. ,Boil potatoes in salted water until fork tender, drain and return to same pan.,Add sour cream (or Mexican Crema) to potatoes, pepper and 2 Tbs of butter, mashing gently to allow for a chunky texture.,While potatoes are cooking, sauté cabbage and green onions in 2 Tbs butter over medium heat until cabbage is soft and starting to char. Add to smashed potatoes and stir.,Check for seasoning, adding salt as needed.,,"
28,Alton Brown Herb Oil,,,Alton Brown Herb Oil,Ryan White,,,,,"16 oz extra-virgin olive oil,6 cloves garlic,3 sprigs thyme,2 sprigs rosemary,10 ea basil leaves,1 tsp red pepper flake,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Combine the olive oil, garlic, thyme, rosemary, basil and pepper flakes in a narrow saucepan over medium heat. ,As the heat builds there will be considerable bubbling as the water cooks out of the garlic and herbs. When this dies down and the basil and garlic turn brown, kill the heat and let the mixture steep until cool.,Strain the oil into a jar and toss the solids. Use immediately or cover tightly and freeze for later use.,,,,"
29,Alton Brown Chick Parm Meatball,,,Alton Brown Chick Parm Meatball,Ryan White,,,,,"3 oz panko crumbs,4 oz Parmesan cheese,1.5 lbs ground chicken,1 ea egg,2 Tbsp Herb Oil (see other recipe),1 Tbsp basil,2 tsp garlic powder,2 tsp dried parsley,1 tsp dried oregano,1 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Heat the oven to 400 degrees F.,Mix together 1/2 ounce of the panko with 1 ounce of the Parmesan in a small bowl. Set aside.,Combine the chicken, egg, 1 tablespoon of the herb oil, the remaining 2.5 ounces panko, the remaining 3 ounces Parmesan, basil, garlic powder, parsley, oregano and salt in a large bowl. 
,Gently combine using your hands until just incorporated, try not to over work the meat.,Divide the meatball mixture into 28 golf ball sized rounds (1 ounce each) and roll them in the panko mixture.,In cast iron skillet heat 1 T herb oil. Brown the meatballs in batches. Remove the browned meatballs from the pan and make the Weeknight Spaghetti Sauce (in same pan),Add the meatballs back to the pan, cover with the grated mozzarella and bake until the meatballs are cooked through, about 10 minutes, and the cheese is melted. Serve over cooked pasta"
30,Alt Brown Spaghetti Sauce,,,Alt Brown Spaghetti Sauce,Ryan White,,,,,"3 Tbsp Herb Oil (see other recipe),28 oz San Marzano Whole Tomatoes,1 tsp Salt,1 Can Anchovies,1 Tbsp Sugar,  ,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Heat oil in skillet over med heat,Drain tomatoes, chop anchovies,Add tomatoes, anchovies, salt, and in my opinion sugar, and cook down until saucified.,,,,"
31,Taco Salad,,,Taco Salad,Ryan White,,,,,"1 lb ground beef,1 packet taco seasoning,1.5 C sour cream,1 packet ranch dip mix,1 head romaine lettuce,1 pint grape tomatoes,3.8 oz sliced black olive,2 C nacho cheese Doritos,1 C green onions,1 C &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Brown the meat in large skillet over medium heat and break into small pieces with a wooden spoon. Add taco seasoning and 1/3 cup water. Simmer until the water is absorbed. Remove from heat.,Mix the sour cream with the ranch dip mix. Chill until ready to serve.,Chop the lettuce and pile in a large serving bowl. Toss with the Catalina Dressing and add a little more if you so desire. Then pile the taco meat and beans over the top.,Next pile on the crushed Doritos, tomatoes, green onions, avocado slices, olives, and cheese. Finally, top the salad with a heaping portion of ranchy sour cream and serve!,,,"
32,GoudaStuffedPorkChops,,,GoudaStuffedPorkChops,Ryan White,,,,,"2 oz Smoked Gouda,4 slices bacon,0.25 C Parsley,0.125 tsp pepper,2 ea Thick cut pork chops (bone in),1 tsp olive oil,0.25 tsp  salt,1.5 lbs brussel sprouts,2 Tbps olive oil,0.33 C &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Shred the gouda, cook bacon and chop, halve and trim brussel sprouts, chop parsley.,In a small bowl, combine the cheese,  bacon, parsley, and 1/8 teaspoon black pepper.,Cut a pocket into the pork, going all the way to the bone, but leaving the sides intact. Stuff cheese mixture into pocket, and close with a wooden toothpick. Brush meat with oil, and season with salt and black pepper,In a bowl toss brussel sprouts, parmesean, garlic powder, oil, salt and pepper,Spread brussel srouts on sheet pan and roast in 425 for 20 min.,Cook pork chops in cast iron, medium-high heat for 5 to 8 minutes on each side. If not done yet place in oven.,"
33,Chicken Picatta,,,Chicken Picatta,Ryan White,,,,,"2 ea chicken breast,  All purpose flour,6 Tbsp Butter,5 Tbsp EVOO,0.333333333333333 C Lemon Juice,0.5 C Chicken Stock,0.25 C Capers,0.333333333333333 C Parsley,1.5 lbs fingerling potatoes,2 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Butterfly chicken and pound to 1/4"" thick. Season with salt and pepper. Dredge in flour,Halve potatoes. Mix in bowl with 3 Tbsp oil, cumin, salt and pepper. Roast on sheet pan 35 min @ 425 deg,Over medium high heat, melt 2 tablespoons of butter with 3 tablespoons olive oil. When butter and oil start to sizzle, add 2 pieces of chicken and cook for 3 minutes each side. Remove to plate., Melt 2 more tablespoons butter and add another 2 tablespoons olive oil. When butter and oil start to sizzle, add the other 2 pieces of chicken and brown both sides in same manner. Remove pan from heat and add chicken to the plate.,Into the pan add the lemon juice, stock and capers. Return to stove and bring to boil, scraping up brown bits from the pan for extra flavor. Check for seasoning. ,Return all the chicken to the pan and simmer for 5 minutes. Remove chicken to platter. Add remaining 2 tablespoons butter to sauce and whisk vigorously. Pour sauce over chicken and garnish with parsley.,"
34,Gumbo,,,Gumbo,Ryan White,,,,,"1 C Flour,0.75 C Bacon Drippings / Lard,1 C Celery,1 ea Grn Bell Pepper,1 ea Onion,2 cloves Garlic,1 lb Andoullie Sausage,3 qt Water,6 cubes Beef Bullion,1 Tbsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""lump crab","Roux - whisk the flour and 3/4 cup bacon drippings together in a large, heavy saucepan over medium-low heat. Whisking constantly,20-30 min until it turns a rich mahogany brown color. Remove from heat; continue whisking until mixture stops cooking.,Stir the celery, onion, green bell pepper, sausage and garlic into the roux. Bring the mixture to a simmer over medium-low heat, and cook until vegetables are tender, 10 to 15 minutes. Remove from heat, and set aside.,Bring the water and beef bouillon cubes to a boil in a large Dutch oven or soup pot. Stir until the bouillon cubes dissolve, and whisk the roux mixture into the boiling water.,Reduce heat to a simmer, and mix in the sugar, salt, hot pepper sauce, Cajun seasoning, bay leaves, thyme, stewed tomatoes, and tomato sauce. Simmer the soup over low heat for 1 hour; mix in 2 teaspoons of file gumbo powder at the 45-minute mark.,Meanwhile, melt 2 tablespoons of bacon drippings in a skillet, and cook the okra with vinegar over medium heat for 15 minutes; remove okra with slotted spoon, and stir into the simmering gumbo.,
Mix in crabmeat, shrimp, and Worcestershire sauce, and simmer until flavors have blended, 45 more minutes. Just before serving, stir in 2 more teaspoons of file gumbo powder.,"
35,CrockpotBBQChicken,,,CrockpotBBQChicken,Ryan White,,,,,"2 lbs boneless, skinless  chicken breasts,1 C BBQ Sauce,0.25 C Zesty Italian Seasoning,0.25 C Brown Sugar,1 Tbsp Worcestershire Sauce,2 Tbsp Salt,1 Package Hawaiian Sweet Rolls (large not mini),8 Slices Cheddar Cheese,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Season chicken breast lightly (a small pinch per breast)  with some sea salt and place in your crockpot.,In a mixing bowl combine BBQ sauce, Italian dressing, brown sugar and Worcestershire sauce. Stir until well combined.,Pour over chicken, cover and cook on HIGH for 3-4 hours.,Once time is up, you can serve the breast whole, or shred with 2 forks. If shredding, recover and let cook in sauce for about 10-15 more minutes to soak up all that delish flavor.,Serve on buns, over rice, in wraps, on a salad or eat a plateful as is!  Our favorite way is on fresh rolls, topped with coleslaw.,,"
36,Tomato Cucumber Salad,,,Tomato Cucumber Salad,Ryan White,,,,,"5 Ea plum Tomatoes,0.25 Ea Red onion,1 Ea English Cucumber,2 Tbsp Extra Virgin Olive Oil,1 tsp Balsalmic Vinegar,1 tsp Salt,1 tsp Black Pepper,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Halve lengthwise, seed, and thinly slice tomatoes, cucumber and red onion,Dress the tomatoes, onions, and cucumber with olive oil, red wine vinegar, salt, and pepper.,Let stand while you prepare dinner, about 20 minutes. Re-toss and serve salad with crusty bread for mopping up juices and oil.,,,,"
37,Pork Tenderloin Dinner,,,Pork Tenderloin Dinner,Ryan White,,,,,"1 ea Garlic & Herb marinated pork tenderloin,1 lb baby red potatoes,1 lb carrots,1 ea white onion,3 tsp minced garlic,1 to taste salt and pepper,2 Tbsp Olive Oil,2 Sprigs Fresh Thyme,2 Sprigs Fresh Rosemary,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Preheat oven to 425 degrees F.,Spray a large (about 9x13-inch) baking dish with cooking spray.,In a large zip-top bag, toss together potatoes, carrots, onion, garlic, salt and pepper, and olive oil until everything is completely coated.,Arrange vegetables in the bottom of the prepared dish. Place marinated pork on top. Tuck herbs among the vegetables.,Put dish in the oven (uncovered) and roast for 35-40 minutes, or until pork is cooked through (and thermometer reads 145 degrees F). Smaller tenderloins may need less time, so check the pork at the 25 or 30-minute mark.,Remove herbs from dish. Allow pork to rest for 5-10 minutes before slicing and serving. Garnish with fresh herbs, if desired.,"
38,BeefBroccoliFreezer,,,BeefBroccoliFreezer,Ryan White,,,,,"1 lb Steak,0.25 C Corn Starch,0.5 C Soy Sauce,4 Tbsp Brown Sugar,1 tsp Mince Garlic,0.5 tsp fresh ginger,1 tsp sesame seeds,0.25 tsp red pepper flakes,4 C Broccoli florets,4 Tbsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Thinly Slice Steak. Add sliced steak + cornstarch into gallon-sized freezer bag. Shake bag until all sides of steak pieces are coated. Seal bag, removing air.,In a small bowl (or place directly into quart sized freezer bag) combine tamari or soy sauce, brown sugar, garlic, ginger, sesame seeds, sesame oil and red pepper flakes.,Label a new gallon-sized freezer bag. Add to labeled bag the sealed steak with cornstarch bag, sealed sauce bag, and add in broccoli florets on top. Seal bags together and freeze.,QUICK THAW: Thaw steak and sauce packets quickly by running under warm water until you can break the packets up. Or place the whole kit in the fridge first thing in the morning so the meat will be thawed by dinner time.,COOK IN WOK OR LARGE SKILLET:  Add 3-4 tbsp vegetable or canola oil over high heat. Pour steak into wok, stir-fry, separating pieces and stirring constantly until the majority of the pieces have some golden or crispy edges on them, about 3-4 minutes., Add broccoli, cook 1-2 minutes until crisp-tender. Add sauce, and cook, stirring constantly for about 1 minute until sauce slightly thickens. Serve.,"
39,PotatoSoupFreezer,,,PotatoSoupFreezer,Ryan White,,,,,"32 oz Diced Potato,1 ea white onion,1 C Shred Carrots,4 C Vegetable Broth,3 tsp mince garlic,0.25 C Butter,2 tsp salt,0.5 tsp pepper,1 tsp celery salt,8 oz &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Add hash browns, onion, carrots, broth, garlic, butter, salt, pepper, celery salt and ham (optional) to a gallon sized freezer bag or container for instant pot.,From frozen, transfer to slow cooker. Cook on high for 5 hours or low 7-8 hours.
From thawed or freshly made, transfer into slow cooker. Cook on high for 3-4 hours or low 6 hours.,TO SERVE:  After cooking in Crock Pot, add in heavy cream and stir until well combined.  Serve topped with cheddar cheese, bacon bits or sour cream if desired.,,,,"
40,ScallopsRisotto,,,ScallopsRisotto,Ryan White,,,,,"1 Tbsp butter,1 clove garlic,1 C arborio rice,0.5 C white wine,3 C chicken broth,0.5 C Parmesan cheese,1 Tbsp grapeseed oil,1 lb jumbo scallops,1 Tbsp olive oil,1 clove &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","For the Risotto: In a large non-stick skillet over medium heat, melt the butter. Add the garlic or shallots and saute for a minute or two, until soft and fragrant. Add the arborio rice, stir to coat with butter. Add the white wine and enjoy the sizzles. Add the broth, 1/2 cup at a time, and simmer/stir after each addition until the rice is soft and creamy. I usually err on the side of more liquid to get a creamier texture. Add the parmesan and stir until incorporated. Salt + pepp to taste.,For the Seared Scallops: Heat oil in nonstick skillet. Pat scallops dry (VERY DRY, as dry as possible), sprinkle with salt, and add to pan. They should sizzle (if not, you need a hotter pan.) Shake gently to prevent sticking. After 2-3 minutes, flip each scallop over. They should have a pretty golden brown exterior and an opaque inside. Transfer to a paper towel lined plate to absorb excess oil. Serve immediately.,For the Sautéed Spinach: Heat the oil over medium low heat. Add the garlic, stir for a minute to get the flavor going. Add the spinach or kale and stir until wilted.,For the Brown Butter: Put a few tablespoons of butter in a clean skillet over medium heat and stir it while watching it closely – when it starts to look golden and foamy, remove from heat, transfer to a heat-proof bowl to cool slightly, then drizzle over the risotto, scallops, and greens.,,,"
